#TYPE Microsoft.Powershell.Utility.FileHash
"Algorithm","Hash","Path"
"SHA256","1999E500B1EE471133DF4FE8EA502884F917AAFF878C02AA50E56F464A45CA58","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeCameraRaw7.0All-x64\AdobeCameraRaw7.0All-x64.boot.xml"
"SHA256","FAF5BB43B3B7751760ED72248533967FE707E9780FD496AAA55C609B216F099E","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeCameraRaw7.0All-x64\AdobeCameraRaw7.0All-x64.proxy.xml"
"SHA256","E6F9D61A91603EB04A5367921EA38E4D1538AB9D1B77A658C56F20F45B31FCC4","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeCameraRaw7.0All-x64\Assets1_1.sig"
"SHA256","A00BD974FC5CD074E2FFE1F9C6D4678F443FD1F61F025AD2D66A1765B8CC3ADA","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeCameraRaw7.0All-x64\Assets1_1.zip"
"SHA256","4F2E7EC5B1E3137439B7C195CDA7146C504220A0F6E6AB01E48C2EA3708D8FE3","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeCameraRaw7.0All-x64\Install.db"
"SHA256","158856FB54369E873777EDEC9A09C468F7EF7400ECBB6A1D952A7C71385F5D78","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeCameraRaw7.0All-x64\Install.sig"
"SHA256","74214E480819F81C2C727F371084919AD1F231D10C2E2D68D8DA163A7A2362FA","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeCameraRaw7.0All-x64\media.sql"
"SHA256","E780D5DAC83535025F5269801575CF4EE69693D98212865EF587A93C2DD9CC95","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeCameraRaw7.0All-x64\Media_db.db"
"SHA256","ACB0746E7930B2CC0927FFAD50868B893FD75B6F0795C2BC751228F8D0681926","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeCameraRawProfile7.0All\AdobeCameraRawProfile7.0All.boot.xml"
"SHA256","BB0A26FB0E9999D2B6B8762CF1D977E9F7D5E4BA858520A41414BC04940D5692","C:\Users\rgaines\Desktop\CS6\DesignWebPremium_CS6_LS16\Adobe CS6\payloads\AdobeCameraRawProfile7.0All\AdobeCameraRawProfile7.0All.proxy.xml"
